,open,high,low,close,volume
2018-03-07,126.22,126.29,125.42,125.72,5158674.0
2018-03-08,125.69,125.7,125.125,125.42,3474944.0
2018-03-09,124.94,125.69,124.78,125.54,5066833.0
2018-03-12,125.04,125.57,124.84,125.54,2884269.0
2018-03-13,125.67,125.99,125.05,125.78,4798303.0
2018-03-14,125.49,125.76,125.34,125.7,3777021.0
2018-03-15,125.12,125.21,124.72,124.9,6130124.0
2018-03-16,124.84,124.87,124.21,124.6,7402188.0
2018-03-19,124.57,125.16,124.42,124.87,4335420.0
2018-03-20,124.41,124.55,123.96,124.31,3399440.0
2018-03-21,125.4,126.76,125.03,126.48,12532035.0
2018-03-22,126.09,126.34,125.64,125.98,5298709.0
2018-03-23,127.82,128.06,127.4054,127.61,12025882.0
2018-03-26,128.05,128.58,128.0107,128.28,6169843.0
2018-03-27,127.23,127.62,127.05,127.49,6180707.0
2018-03-28,126.48,126.61,125.51,125.73,10254883.0
2018-03-29,125.42,125.81,125.31,125.79,7117156.0
2018-04-02,126.65,127.54,126.375,127.26,11421144.0
2018-04-03,126.54,126.59,126.01,126.3,6083717.0
2018-04-04,127.5,127.53,126.32,126.45,7488254.0
2018-04-05,125.45,126.0825,125.425,125.8,5332957.0
2018-04-06,126.57,126.6,126.125,126.39,6121225.0
2018-04-09,126.45,126.86,126.23,126.82,4189864.0
2018-04-10,127.02,127.305,126.67,127.12,5403992.0
2018-04-11,128.09,129.47,127.78,128.11,12348564.0
2018-04-12,127.25,127.34,126.47,126.62,8141339.0
2018-04-13,127.07,127.75,127.03,127.45,6821338.0
2018-04-16,127.74,128.05,127.57,127.63,4600039.0
2018-04-17,127.02,127.78,127.001,127.75,4184077.0
2018-04-18,128.32,128.54,127.751,127.85,6755575.0
2018-04-19,127.81,127.8839,127.13,127.6,8736103.0
2018-04-20,126.69,126.97,126.55,126.63,10403128.0
2018-04-23,125.62,125.76,125.3412,125.62,6921519.0
2018-04-24,125.78,126.34,125.67,126.23,4733107.0
2018-04-25,125.23,125.51,125.06,125.41,5981944.0
2018-04-26,125.54,125.57,124.69,124.97,7517135.0
2018-04-27,125.2,125.62,125.17,125.5,5653996.0
2018-04-30,124.41,125.2,124.1901,124.59,9830612.0
2018-05-01,123.9,123.9848,123.39,123.71,7551577.0
2018-05-02,123.9,124.54,123.58,123.65,7614019.0
2018-05-03,124.66,124.76,124.24,124.28,4857387.0
2018-05-04,124.1,124.65,124.0,124.54,5883574.0
2018-05-07,124.5,124.7,124.3,124.57,3397508.0
2018-05-08,124.14,124.95,123.79,124.59,5551078.0
2018-05-09,124.45,124.87,124.24,124.33,4405593.0
2018-05-10,125.22,125.3724,124.75,125.18,5218356.0
2018-05-11,125.57,125.59,124.94,125.0,4299164.0
2018-05-14,125.16,125.21,124.44,124.49,3753223.0
2018-05-15,122.82,122.82,122.13,122.48,10911900.0
2018-05-16,122.38,122.61,122.03,122.29,4943275.0
2018-05-17,122.23,122.43,122.04,122.36,7781336.0
2018-05-18,122.05,122.65,122.01,122.41,6837125.0
2018-05-21,122.16,122.53,121.97,122.48,4126673.0
2018-05-22,122.7,122.74,122.34,122.41,4579602.0
2018-05-23,122.14,122.74,122.11,122.54,7007256.0
2018-05-24,123.1,123.82,123.08,123.59,8850085.0
2018-05-25,123.66,123.7,123.21,123.21,7920650.0
2018-05-29,122.84,123.64,122.66,123.19,9013170.0
2018-05-30,123.17,123.61,123.17,123.37,4573697.0
2018-05-31,123.26,123.78,123.1,123.1,7862495.0
2018-06-01,122.58,123.09,122.44,122.49,8059121.0
2018-06-04,122.85,122.93,122.37,122.37,4345370.0
2018-06-05,122.55,123.2257,122.281,122.85,6864209.0
2018-06-06,123.08,123.35,122.63,122.92,4083702.0
2018-06-07,122.96,123.145,122.69,122.86,3700745.0
2018-06-08,123.08,123.12,122.91,123.01,3865667.0
2018-06-11,123.1,123.42,123.0175,123.23,3201179.0
2018-06-12,122.95,123.18,122.64,122.82,7279620.0
2018-06-13,122.84,123.34,122.47,123.19,5867744.0
2018-06-14,123.63,123.86,123.32,123.38,8015447.0
2018-06-15,122.18,122.2,120.83,121.34,14536993.0
2018-06-18,121.35,121.44,120.99,121.11,3845950.0
2018-06-19,120.81,121.03,120.581,120.8,4925832.0
2018-06-20,120.79,120.81,120.16,120.26,4548491.0
2018-06-21,119.92,120.32,119.821,120.05,5681906.0
2018-06-22,120.21,120.4,120.1,120.34,4518408.0
2018-06-25,120.0,120.23,119.8299,119.89,9300195.0
2018-06-26,119.28,119.59,119.09,119.26,8675447.0
2018-06-27,118.96,119.05,118.48,118.58,6480064.0
2018-06-28,118.59,118.67,118.01,118.22,7760936.0
2018-06-29,118.43,118.94,118.26,118.65,8002828.0
2018-07-02,118.18,118.21,117.4,117.46,12021957.0
2018-07-03,118.41,119.08,118.38,118.65,8900973.0
2018-07-05,118.92,119.33,118.77,119.05,4951873.0
2018-07-06,118.97,119.03,118.731,118.86,2947058.0
2018-07-09,119.65,119.73,119.14,119.15,4075297.0
2018-07-10,118.89,119.0,118.61,118.93,3754770.0
2018-07-11,118.45,118.53,117.62,117.64,6974791.0
2018-07-12,118.0,118.2638,117.94,118.13,4585460.0
2018-07-13,117.62,117.75,117.4465,117.61,5444284.0
2018-07-16,117.51,117.625,117.28,117.55,3670943.0
2018-07-17,116.72,116.925,116.12,116.28,7939635.0
2018-07-18,116.03,116.35,115.83,116.31,5391963.0
2018-07-19,115.13,116.47,115.12,115.81,14227628.0
2018-07-20,116.4,116.71,116.24,116.56,7892317.0
2018-07-23,116.25,116.31,115.76,116.0,6247368.0
2018-07-24,116.22,116.43,115.91,116.04,4801046.0
2018-07-25,116.79,116.8366,116.27,116.68,5480914.0
2018-07-26,116.24,116.51,115.77,115.77,6382946.0
2018-07-27,115.92,116.2399,115.77,115.83,5242099.0
2018-07-30,115.8,116.02,115.64,115.65,4157371.0
2018-07-31,115.47,116.35,115.394,115.99,5508456.0
2018-08-01,115.63,115.7,115.125,115.14,7941660.0
2018-08-02,115.17,115.23,114.42,114.52,6204210.0
2018-08-03,115.09,115.53,114.86,114.92,5953227.0
2018-08-06,114.56,114.72,114.31,114.33,5811614.0
2018-08-07,114.85,114.935,114.42,114.59,5188447.0
2018-08-08,114.75,114.95,114.41,114.91,3809872.0
2018-08-09,115.02,115.12,114.69,114.74,4252956.0
2018-08-10,114.81,115.23,114.6076,114.69,6757857.0
2018-08-13,113.81,113.81,112.83,112.96,9150873.0
2018-08-14,113.25,113.48,112.84,113.07,7086193.0
2018-08-15,112.17,112.18,111.06,111.19,12398366.0
2018-08-16,111.46,111.88,111.1,111.1,7484637.0
2018-08-17,111.69,112.15,111.38,112.13,8470951.0
2018-08-20,112.38,112.74,112.16,112.69,5313403.0
2018-08-21,112.77,113.1,112.44,113.02,5042443.0
2018-08-22,113.39,113.49,113.07,113.27,6215910.0
2018-08-23,112.68,112.88,112.06,112.2,5500102.0
2018-08-24,113.25,114.42,113.21,114.16,9214703.0
2018-08-27,114.12,114.78,114.12,114.59,4364167.0
2018-08-28,114.76,114.8666,113.55,113.68,6101386.0
2018-08-29,114.16,114.21,113.85,114.2,5616329.0
2018-08-30,113.92,113.93,113.24,113.64,5431600.0
2018-08-31,113.72,114.06,113.44,113.51,5048673.0
2018-09-04,112.75,113.07,112.61,112.93,6617486.0
2018-09-05,113.36,113.44,113.12,113.32,4459202.0
2018-09-06,113.89,114.26,113.28,113.54,4784729.0
2018-09-07,113.26,113.6,112.97,113.23,3714023.0
2018-09-10,113.26,113.43,113.0,113.15,2316693.0
2018-09-11,112.65,113.37,112.42,113.22,3791338.0
2018-09-12,113.12,114.39,113.055,114.17,6315934.0
2018-09-13,114.72,114.78,113.58,113.76,5636023.0
2018-09-14,113.79,113.9,112.91,113.02,5375645.0
2018-09-17,113.6,114.03,113.55,113.61,4727254.0
2018-09-18,113.79,113.91,113.275,113.44,4737849.0
2018-09-19,113.94,114.15,113.68,113.88,4223199.0
2018-09-20,114.21,114.37,113.855,114.27,4384523.0
2018-09-21,112.8701,113.68,112.79,113.49,6831550.0
2018-09-24,113.68,113.96,113.43,113.47,4435578.0
2018-09-25,113.75,113.885,113.57,113.65,3004824.0
2018-09-26,113.11,113.6,112.66,113.05,8297429.0
2018-09-27,112.1,112.4156,111.8499,112.05,7683739.0
2018-09-28,112.16,113.0,112.07,112.76,6020579.0
2018-10-01,112.4,112.62,112.15,112.57,3893012.0
2018-10-02,113.7,114.33,113.61,113.87,10776912.0
2018-10-03,113.87,114.05,113.26,113.42,6674517.0
2018-10-04,113.83,114.19,113.255,113.48,6616212.0
2018-10-05,113.81,114.1,113.57,113.8,7994440.0
2018-10-08,112.25,112.59,111.9,112.54,12111577.0
2018-10-09,112.37,112.67,111.97,112.6,8352697.0
2018-10-10,112.47,112.96,112.25,112.88,10571316.0
2018-10-11,114.2,116.04,114.09,115.78,26810920.0
2018-10-12,115.58,115.71,115.08,115.23,12939315.0
2018-10-15,116.12,116.53,115.89,116.0,11828366.0
2018-10-16,116.49,116.6,115.8,115.8,9531769.0
2018-10-17,115.89,116.33,115.68,115.79,7078639.0
2018-10-18,115.83,116.41,115.63,115.92,7964106.0
2018-10-19,116.23,116.24,115.96,116.01,7453947.0
2018-10-22,115.57,115.7789,115.43,115.71,5200759.0
2018-10-23,117.16,117.25,116.33,116.39,12704177.0
2018-10-24,116.38,116.72,116.1101,116.66,8563293.0
2018-10-25,116.58,116.73,116.19,116.4,8303495.0
2018-10-26,116.83,117.65,116.46,116.77,15733170.0
2018-10-29,116.41,116.54,115.84,116.31,8732486.0
2018-10-30,115.85,116.04,115.635,115.8,7233614.0
2018-10-31,114.89,115.17,114.66,115.15,11409346.0
2018-11-01,116.33,117.07,116.18,116.63,13662915.0
2018-11-02,116.61,116.98,116.39,116.65,8796962.0
2018-11-05,116.28,116.67,116.23,116.37,6291450.0
2018-11-06,116.44,116.525,115.74,116.04,7270793.0
2018-11-07,116.26,116.345,115.9,116.03,8392112.0
2018-11-08,115.77,116.15,115.5,115.78,7638817.0
2018-11-09,114.6,114.75,114.14,114.48,14159472.0
2018-11-12,114.01,114.05,113.58,113.66,7499046.0
2018-11-13,113.72,113.93,113.42,113.7,9309074.0
2018-11-14,113.53,115.06,113.46,114.64,13950218.0
2018-11-15,114.83,114.99,114.56,114.77,8910585.0
2018-11-16,115.83,115.88,115.37,115.62,8576955.0
2018-11-19,115.45,115.92,115.37,115.67,8508445.0
2018-11-20,115.94,115.95,115.37,115.67,9075193.0
2018-11-21,115.94,116.35,115.86,115.86,8834206.0
2018-11-23,115.76,115.88,115.585,115.77,3726611.0
2018-11-26,115.84,115.87,115.53,115.64,4018622.0
2018-11-27,115.55,115.63,114.6,114.95,9671170.0
2018-11-28,114.76,116.07,114.59,115.38,13789016.0
2018-11-29,115.97,116.24,115.56,115.74,6479502.0
2018-11-30,115.42,115.66,115.04,115.54,8169579.0
2018-12-03,116.6,116.77,116.295,116.41,8463378.0
2018-12-04,117.37,117.39,116.931,117.12,7186437.0
2018-12-06,117.38,117.685,116.92,117.14,9267628.0
2018-12-07,117.62,118.23,117.54,118.09,10402903.0
2018-12-10,117.7,117.94,117.42,117.68,8118110.0
2018-12-11,117.67,117.89,117.35,117.54,6395391.0
2018-12-12,117.7,117.95,117.6117,117.79,4136781.0
2018-12-13,117.54,117.62,117.26,117.53,4131770.0
2018-12-14,116.63,117.3,116.58,117.06,7501660.0
2018-12-17,117.37,118.03,117.35,117.87,8455007.0
2018-12-18,117.85,118.2,117.81,118.15,7542875.0
2018-12-19,118.24,118.96,117.4,117.43,13827509.0
2018-12-20,119.11,119.74,118.68,119.24,18615143.0
2018-12-21,119.19,119.25,118.57,118.72,13629830.0
2018-12-24,119.57,120.14,119.57,120.02,9736359.0
2018-12-26,120.62,120.995,119.57,119.66,14293459.0
2018-12-27,120.57,120.895,120.14,120.57,11874408.0
2018-12-28,120.8,121.08,120.72,121.06,6864842.0
2018-12-31,120.98,121.26,120.83,121.25,8449441.0
2019-01-02,121.35,121.75,120.88,121.33,12776155.0
2019-01-03,121.78,122.46,121.73,122.43,15440840.0
2019-01-04,121.32,121.6,120.69,121.44,13334368.0
2019-01-07,122.16,122.22,121.5731,121.86,7473641.0
2019-01-08,121.15,121.71,121.06,121.53,7643363.0
2019-01-09,121.45,122.335,121.44,122.31,10555933.0
2019-01-10,121.98,122.179,121.57,121.59,6672058.0
2019-01-11,121.74,122.05,121.66,121.8,8622666.0
2019-01-14,122.15,122.24,121.87,122.09,6477072.0
2019-01-15,122.28,122.38,121.62,121.88,7512779.0
2019-01-16,122.04,122.44,122.02,122.27,6878137.0
2019-01-17,122.03,122.26,121.81,122.11,8558523.0
2019-01-18,121.23,121.515,121.02,121.02,10896307.0
2019-01-22,121.18,121.5,120.9,121.45,7896668.0
2019-01-23,120.96,121.54,120.86,121.28,5224918.0
2019-01-24,121.16,121.36,120.92,121.09,5662490.0
2019-01-25,122.02,122.91,122.02,122.86,11103309.0
2019-01-28,122.75,123.29,122.7178,123.29,8522178.0
2019-01-29,123.71,124.0,123.46,123.98,11610204.0
2019-01-30,123.91,125.07,123.7,124.69,12103963.0
2019-01-31,125.18,125.23,124.62,124.75,10209516.0
2019-02-01,124.89,125.05,124.37,124.5,12485496.0
2019-02-04,123.99,124.29,123.82,123.96,6879187.0
2019-02-05,124.29,124.42,124.05,124.28,6291367.0
2019-02-06,124.16,124.1899,123.4,123.44,6595100.0
2019-02-07,123.8,123.95,123.4367,123.74,5935456.0
2019-02-08,124.05,124.33,123.9799,124.21,4235221.0
2019-02-11,123.19,123.82,123.19,123.6,4821904.0
2019-02-12,123.96,124.03,123.61,123.86,4271869.0
2019-02-13,123.84,124.55,123.31,123.37,7640509.0
2019-02-14,123.84,124.2,123.53,124.06,6276529.0
2019-02-15,124.59,125.0,124.18,124.8,12190104.0
2019-02-19,125.98,126.79,125.93,126.7,15614028.0
2019-02-20,127.0,127.21,126.31,126.48,8889665.0
2019-02-21,126.15,126.22,125.05,125.05,8634596.0
2019-02-22,125.53,125.95,125.39,125.5,5439375.0
2019-02-25,125.78,125.9,125.23,125.37,4882615.0
2019-02-26,125.33,125.6171,125.05,125.58,5153511.0
2019-02-27,125.17,125.226,124.4,124.69,7935647.0
2019-02-28,124.71,124.71,123.98,123.99,7811731.0
2019-03-01,123.48,123.96,121.87,121.88,16411743.0
2019-03-04,121.56,121.85,121.18,121.56,10272586.0
2019-03-05,121.38,121.73,121.03,121.72,7120090.0
2019-03-06,121.43,121.64,121.26,121.61,4820443.0
2019-03-07,121.27,121.71,121.18,121.51,6088768.0
2019-03-08,122.7,122.89,122.37,122.84,10427747.0
2019-03-11,122.52,122.54,121.92,122.24,6708655.0
2019-03-12,122.54,123.03,122.4,122.98,6289860.0
2019-03-13,123.56,123.88,123.425,123.84,7377297.0
2019-03-14,122.33,122.545,122.12,122.41,6778443.0
2019-03-15,123.06,123.4,122.9132,122.97,9412061.0
2019-03-18,123.3,123.3998,122.89,123.04,7783205.0
2019-03-19,123.72,123.79,123.34,123.38,6558693.0
2019-03-20,123.66,124.42,122.65,124.18,11304912.0
2019-03-21,124.36,124.37,123.11,123.68,7739775.0
2019-03-22,123.93,124.22,123.73,123.97,5874016.0
2019-03-25,124.56,125.11,124.4801,124.92,7288343.0
2019-03-26,124.48,124.51,124.07,124.3,5056224.0
2019-03-27,124.35,124.375,123.56,123.65,6595016.0
2019-03-28,122.28,122.355,121.705,121.9,11878328.0
2019-03-29,122.64,122.75,122.01,122.01,7094201.0
2019-04-01,122.4,122.43,121.46,121.53,13559963.0
2019-04-02,121.72,122.01,121.68,121.98,4474953.0
2019-04-03,121.73,122.01,121.675,121.8,6152734.0
2019-04-04,121.1,122.24,120.96,122.11,7508760.0
2019-04-05,121.88,122.13,121.6633,121.98,5114493.0
2019-04-08,122.97,123.0199,122.4,122.51,4271034.0
2019-04-09,123.26,123.35,123.03,123.15,4648392.0
2019-04-10,123.22,123.77,123.19,123.53,6344767.0
2019-04-11,122.54,122.75,121.79,121.95,11694503.0
2019-04-12,121.96,122.31,121.8,121.83,5272844.0
2019-04-15,121.2,121.82,121.095,121.6,4252774.0
2019-04-16,120.38,120.63,120.19,120.51,10097802.0
2019-04-17,120.46,120.51,120.195,120.28,4693864.0
2019-04-18,120.24,120.54,120.15,120.37,4090401.0
2019-04-22,120.46,120.5,120.27,120.37,2251185.0
2019-04-23,119.67,120.2,119.55,120.12,5574897.0
2019-04-24,120.06,120.72,120.04,120.47,4173034.0
2019-04-25,120.72,121.0962,120.5,120.57,4836857.0
2019-04-26,121.26,121.67,121.2199,121.37,6022715.0
2019-04-29,120.88,120.91,120.665,120.83,4469721.0
2019-04-30,120.89,121.36,120.85,121.2,4758567.0
2019-05-01,121.03,121.55,120.18,120.4,12331836.0
2019-05-02,119.69,120.11,119.54,119.94,6759844.0
2019-05-03,120.56,121.08,120.475,120.65,8414504.0
2019-05-06,120.61,121.12,120.54,120.81,3479563.0
2019-05-07,121.02,121.42,120.9067,121.21,4010654.0
2019-05-08,121.54,121.54,120.77,120.91,4178965.0
2019-05-09,120.96,121.62,120.86,121.2,5015785.0
2019-05-10,121.41,121.73,121.3,121.43,4586301.0
2019-05-13,122.63,122.85,122.325,122.67,11130908.0
2019-05-14,122.6,122.66,122.12,122.46,5556105.0
2019-05-15,122.71,122.765,122.2199,122.39,10298968.0
2019-05-16,122.03,122.0734,121.19,121.51,6349454.0
2019-05-17,121.03,121.06,120.33,120.65,6589382.0
2019-05-20,120.51,120.74,120.42,120.64,4345803.0
2019-05-21,120.08,120.36,119.83,120.36,3845702.0
2019-05-22,120.35,120.5,120.19,120.24,3741805.0
2019-05-23,120.82,121.52,120.77,121.17,6054721.0
2019-05-24,121.13,121.31,120.89,121.3,2324653.0
2019-05-28,120.8,120.84,120.46,120.83,4303495.0
2019-05-29,121.11,121.26,120.745,120.87,4133202.0
2019-05-30,120.96,121.69,120.8,121.69,7757033.0
2019-05-31,122.55,123.4,122.315,123.33,15367001.0
2019-06-03,124.09,125.34,123.9,125.11,14173636.0
2019-06-04,124.88,125.42,124.61,125.15,7997062.0
2019-06-05,126.18,126.37,125.24,125.47,7637880.0
2019-06-06,125.93,126.45,125.8,125.88,5551778.0
2019-06-07,126.79,127.25,126.32,126.59,8145853.0
2019-06-10,125.46,125.525,125.065,125.33,5409983.0
2019-06-11,124.94,125.4,124.884,125.18,4757841.0
2019-06-12,125.6,126.2,125.56,125.83,5756153.0
2019-06-13,126.03,126.77,125.9599,126.6,5374818.0
2019-06-14,127.21,127.63,126.26,126.56,9226446.0
2019-06-17,126.7,126.77,126.17,126.48,4763345.0
2019-06-18,127.58,127.75,126.39,127.12,10309646.0
2019-06-19,126.77,127.99,126.7,127.89,11660649.0
2019-06-20,130.41,131.49,130.185,131.11,18636339.0
2019-06-21,131.77,132.17,131.07,131.98,15068037.0
2019-06-24,132.77,134.035,132.58,133.94,17851801.0
2019-06-25,134.9,135.55,133.21,134.2,24772241.0
2019-06-26,132.99,133.55,132.41,132.97,12016402.0
2019-06-27,132.38,132.97,132.26,132.84,8412764.0
2019-06-28,133.05,133.34,132.61,133.2,8076966.0
2019-07-01,131.56,131.755,130.55,130.62,13369815.0
2019-07-02,131.27,133.63,131.16,133.41,13282139.0
2019-07-03,133.61,134.1,133.23,133.63,6351547.0
2019-07-05,131.46,132.32,130.81,132.14,11536581.0
2019-07-08,132.18,132.341,131.28,131.29,8028884.0
2019-07-09,131.43,132.1,131.1575,131.75,6633439.0
2019-07-10,132.94,133.87,132.35,133.83,13920593.0
2019-07-11,133.58,133.7,132.41,132.7,7535133.0
2019-07-12,132.89,133.69,132.53,133.53,6309451.0
2019-07-15,133.18,133.53,132.805,133.53,4026583.0
2019-07-16,133.18,133.3,132.13,132.4,7965981.0
2019-07-17,133.0,134.6,132.89,134.58,11288279.0
2019-07-18,133.83,136.63,133.61,136.48,18466488.0
2019-07-19,135.45,136.03,133.97,134.47,18079195.0
2019-07-22,134.56,134.82,134.32,134.45,7570898.0
2019-07-23,134.43,134.95,133.56,133.69,9981379.0
2019-07-24,134.59,134.84,133.98,134.37,6715167.0
2019-07-25,134.24,134.28,133.09,133.42,11708241.0
2019-07-26,134.24,134.29,133.59,133.64,6249928.0
2019-07-29,134.06,134.729,133.44,134.53,9162417.0
2019-07-30,134.76,135.18,134.41,134.98,9458733.0
2019-07-31,135.03,135.42,133.02,133.21,18797199.0
2019-08-01,132.42,136.43,132.305,136.41,27719822.0
2019-08-02,135.39,136.6,135.37,135.89,13753222.0
2019-08-05,137.93,138.64,137.05,137.79,17519817.0
2019-08-06,138.33,139.03,138.005,138.91,9471209.0
2019-08-07,141.28,142.47,140.88,141.02,26671092.0
2019-08-08,140.9,142.37,140.71,141.73,13108554.0
2019-08-09,141.28,142.03,140.96,141.26,9485912.0
2019-08-12,141.67,143.38,141.64,142.63,22574074.0
2019-08-13,143.17,143.285,139.35,141.78,29930394.0
2019-08-14,142.9,143.75,142.05,142.75,20672858.0
2019-08-15,142.96,144.02,142.61,143.7,13501099.0
2019-08-16,142.75,143.13,141.8,142.78,12184492.0
2019-08-19,141.33,141.79,140.85,141.11,10558366.0
2019-08-20,141.77,142.255,141.6,142.21,7479375.0
2019-08-21,141.62,142.17,141.46,141.76,8118733.0
2019-08-22,141.39,141.9,141.17,141.4,6847647.0
2019-08-23,141.84,144.33,141.64,144.17,20290539.0
2019-08-26,144.35,144.97,143.91,144.19,12200810.0
2019-08-27,144.3,145.68,144.27,145.57,12857588.0
2019-08-28,145.39,145.68,144.64,145.16,11452157.0
2019-08-29,145.4,145.49,143.28,144.12,14764572.0
2019-08-30,143.84,144.8822,143.02,143.75,9641918.0
2019-09-03,144.96,146.13,144.741,145.75,15613445.0
2019-09-04,145.54,146.82,145.5,146.66,11284999.0
2019-09-05,144.9867,145.015,142.0,143.14,20292448.0
2019-09-06,143.66,144.06,141.86,141.94,14174625.0
2019-09-09,142.37,142.46,141.18,141.39,11317417.0
2019-09-10,141.23,141.525,140.16,140.18,12606324.0
2019-09-11,140.3401,141.26,140.28,141.03,7435539.0
2019-09-12,142.6899,143.1,141.11,141.32,12661188.0
2019-09-13,141.73,141.99,140.06,140.15,13450924.0
2019-09-16,141.6,142.05,141.02,141.32,8078398.0
2019-09-17,141.82,142.11,141.2237,141.6,7045262.0
2019-09-18,141.93,142.53,139.81,140.71,15066645.0
2019-09-19,141.57,141.74,141.0851,141.28,8062414.0
2019-09-20,141.61,143.03,141.46,142.95,12143073.0
2019-09-23,143.19,143.94,143.07,143.75,9033969.0
2019-09-24,143.21,144.77,142.88,144.51,10619888.0
2019-09-25,144.08,144.29,141.44,141.83,11993328.0
2019-09-26,142.19,142.57,141.56,141.79,8781994.0
2019-09-27,140.35,141.68,140.16,141.06,9663779.0
2019-09-30,139.77,140.21,138.03,138.87,15501664.0
2019-10-01,138.07,140.19,137.8,139.63,12500459.0
2019-10-02,140.79,141.88,140.462,141.26,11942729.0
2019-10-03,141.36,143.25,141.29,141.9,12406393.0
2019-10-04,141.48,142.31,141.14,141.9,9689748.0
2019-10-07,141.16,141.7709,140.24,140.69,6155985.0
2019-10-08,142.03,142.29,141.17,141.92,10478330.0
2019-10-09,142.16,142.58,141.62,142.05,6928809.0
